规则/样本类型,IOC值,威胁意图,风险等级,基础标签,来源渠道,适用场景
恶意URL,http://115.63.15.5:56284/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://42.227.200.97:47576/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://222.138.116.39:36199/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.58.135.123:34848/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://638490.idealgo.in.net/verification.google,malware_download,高,"ACRStealer,ClearFake",URLhaus,Web访问日志分析
恶意URL,http://222.141.233.82:43919/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://182.123.208.65:44601/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://1.181.226.40:56308/bin.sh,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://158.94.208.7/files/2043702969/Ln9yol3.exe,malware_download,高,"dropped-by-amadey,fbf543,rustystealer",URLhaus,Web访问日志分析
恶意URL,https://genomecouri.idealgo.in.net/verification.google,malware_download,高,"ACRStealer,ClearFake",URLhaus,Web访问日志分析
恶意URL,https://guidecoral.idealgo.in.net/verification.google,malware_download,高,"ACRStealer,ClearFake",URLhaus,Web访问日志分析
恶意URL,http://222.140.180.235:49670/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://39.187.82.244:35064/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://123.12.36.229:54136/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://182.123.208.65:44601/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://mer-forgeon.idealgo.in.net/verification.google,malware_download,高,"ACRStealer,ClearFake",URLhaus,Web访问日志分析
恶意URL,http://117.209.90.123:57542/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://221.13.251.187:45463/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.37.78.200:47188/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.186.231.59:43361/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,https://yimmodmenu.click/btc/YimModMenu.rar,malware_download,高,rar,URLhaus,Web访问日志分析
恶意URL,http://123.12.36.229:54136/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://221.13.251.187:45463/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://117.209.90.123:57542/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.37.78.200:47188/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.186.231.59:43361/bin.sh,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://158.94.208.7/files/7362035837/FbbqcXE.exe,malware_download,高,"dropped-by-amadey,fbf543",URLhaus,Web访问日志分析
恶意URL,http://123.188.60.20:50438/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://60.23.233.53:52596/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://cdn.discordapp.com/attachments/1474811160627777776/1482585261299859558/WALLS.7z?ex=69b77c9f&is=69b62b1f&hm=961e315389fbb1c8414205ddd6b59e61fe864b97860f4e5e8ea698df6a6ca5ad&,malware_download,高,keylogger,URLhaus,Web访问日志分析
恶意URL,https://bf-chromefdghd.oss-cn-hongkong.aliyuncs.com/bf-chrome-03-12-01.zip,malware_download,高,SilverFox,URLhaus,Web访问日志分析
恶意URL,https://sgnfyn.oss-cn-shenzhen.aliyuncs.com/googlechr1.18.9.83.zip,malware_download,高,SilverFox,URLhaus,Web访问日志分析
恶意URL,https://sgnfyn.oss-cn-shenzhen.aliyuncs.com/goodgle-chomex16.83.zip,malware_download,高,SilverFox,URLhaus,Web访问日志分析
恶意URL,https://virtual-cdncloud.sbs/api/css.js,malware_download,高,"ClickFix,ErrTraffic",URLhaus,Web访问日志分析
恶意URL,http://cloflart.com/7z.exe,malware_download,高,"ClickFix,NetSupport",URLhaus,Web访问日志分析
恶意URL,http://cloflart.com/7z.dll,malware_download,高,"ClickFix,NetSupport",URLhaus,Web访问日志分析
恶意URL,http://cloflart.com/at.7z,malware_download,高,"ClickFix,NetSupport",URLhaus,Web访问日志分析
恶意URL,http://cloflart.com/lnk.7z,malware_download,高,"ClickFix,NetSupport",URLhaus,Web访问日志分析
恶意URL,https://qpiihw67.zipfolder.in.net/verification.google,malware_download,高,"ACRStealer,ClearFake",URLhaus,Web访问日志分析
恶意URL,https://hyper-sc4n.zipfolder.in.net/verification.google,malware_download,高,"ACRStealer,ClearFake",URLhaus,Web访问日志分析
恶意URL,http://61.53.91.240:42361/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://36.158.74.30:38155/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://117.241.61.44:51835/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://123.188.60.20:50438/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://60.19.221.36:60080/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://61.53.91.240:42361/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://36.158.74.30:38155/bin.sh,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://125.47.194.56:38288/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://222.141.82.185:55206/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://60.19.221.36:60080/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://59.177.98.29:37055/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://222.141.82.185:55206/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://125.47.194.56:38288/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://60.23.233.123:40028/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://113.236.113.47:56563/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://123.12.238.172:54953/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.61.9.48:57243/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://108.168.0.60:49880/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
